run_id,model,phase,prompt_idx,prompt_short,t_start_mono,t_end_mono,duration_ms,tokens_per_sec,prompt_tokens,prompt_tokens_per_sec,gen_tokens,gpu_mean_w,gpu_peak_w,gpu_energy_j,cpu_mean_pct,total_tokens,j_per_token,j_per_out_token,reasoning_mode,reasoning_toggle_method,thinking_tokens_est,answer_tokens_est,energy_thinking_j,energy_answer_j,j_per_answer_token,correct
0,gemma3:1b,idle,-1,IDLE_BASELINE,10477.909,10488.418,10509,0,0,0,0,12.994,18.750,136.560,,0,0,0,n/a,,0,0,0,0,0,
1,gemma3:1b,load,0,What is the capital of France?,10488.419,10489.171,751,177.1,16,90.9,37,12.870,13.890,9.678,,53,0.18260604089473212,0.26157081533569737,n/a,,0,37,0.000,9.678,0.2616,
1,gemma3:1b,load,1,What year was the C programming language created?,10489.494,10489.975,481,212.8,18,1816.3,56,33.570,33.570,16.152,,74,0.2182659644812026,0.2884228816358749,n/a,,0,56,0.000,16.152,0.2884,
1,gemma3:1b,load,2,Name three planets in our solar system.,10490.024,10490.410,386,217.3,17,1780.3,36,61.050,61.050,23.567,,53,0.44465853085064666,0.6546361704190076,n/a,,0,36,0.000,23.567,0.6546,
1,gemma3:1b,load,3,What is 17 multiplied by 23?,10490.549,10490.882,333,213.8,20,1952.4,27,67.940,67.940,22.682,,47,0.48259973859887473,0.840081026449893,n/a,,0,27,0.000,22.682,0.8401,
1,gemma3:1b,load,4,"Who wrote the novel ""1984""?",10491.086,10491.620,533,216.3,19,1988.7,65,63.260,65.890,33.751,,84,0.40180081674912504,0.5192502862604077,n/a,,0,65,0.000,33.751,0.5193,
1,gemma3:1b,load,5,Explain the difference between TCP and UDP in two sentences.,10492.143,10492.597,453,214.4,20,2049.5,51,59.590,59.590,27.040,,71,0.3808517305378872,0.5302053503566665,n/a,,0,51,0.000,27.040,0.5302,
1,gemma3:1b,load,6,What are the main advantages of using containers over virtua,10492.673,10497.010,4336,213.8,21,1945.8,802,96.003,107.200,416.299,,823,0.5058308778006059,0.5190758259724422,n/a,,0,802,0.000,416.299,0.5191,
1,gemma3:1b,load,7,Describe how HTTPS protects data in transit.,10497.478,10502.401,4922,213.6,17,1717.2,916,98.420,108.230,484.481,,933,0.5192719014082914,0.5289090436833361,n/a,,0,916,0.000,484.481,0.5289,
1,gemma3:1b,load,8,What is gradient descent and why is it used in machine learn,10502.734,10508.280,5546,216.0,22,2229.3,1046,102.229,108.600,566.981,,1068,0.53088076264581,0.5420465148238289,n/a,,0,1046,0.000,566.981,0.5420,
1,gemma3:1b,load,9,Summarise the causes of World War I in three bullet points.,10508.511,10509.383,871,222.7,22,2234.3,134,87.600,92.510,76.379,,156,0.4896100347155459,0.5699937717583967,n/a,,0,134,0.000,76.379,0.5700,
1,gemma3:1b,load,10,Write a Python function that checks whether a given string i,10509.573,10514.085,4511,217.8,29,2747.9,852,100.888,108.530,455.154,,881,0.5166332127968426,0.5342181460962657,n/a,,0,852,0.000,455.154,0.5342,
1,gemma3:1b,load,11,Explain how a transformer neural network works. Cover attent,10514.342,10521.843,7500,205.5,27,2706.2,1366,101.985,107.240,764.961,,1393,0.5491462465351525,0.5600005281284535,n/a,,0,1366,0.000,764.961,0.5600,
1,gemma3:1b,load,12,Write a short story (about 200 words) about a robot who disc,10522.228,10523.730,1501,208.5,32,2629.6,247,83.393,91.590,125.256,,279,0.44894687417664003,0.5071100319647068,n/a,,0,247,0.000,125.256,0.5071,
1,gemma3:1b,load,13,List and briefly explain ten common software design patterns,10523.826,10527.247,3420,207.0,26,2147.1,603,99.586,105.540,340.681,,629,0.541623879355629,0.5649774794605151,n/a,,0,603,0.000,340.681,0.5650,
1,gemma3:1b,load,14,Describe the pros and cons of renewable energy sources: sola,10527.581,10533.845,6264,209.2,28,2277.1,1154,99.521,106.860,623.439,,1182,0.5274445089939991,0.5402421227304219,n/a,,0,1154,0.000,623.439,0.5402,
2,gemma3:1b,load,0,What is the capital of France?,10533.904,10534.265,360,218.1,16,1520.3,34,105.400,105.400,38.026,,50,0.7605247712160853,1.1184187812001254,n/a,,0,34,0.000,38.026,1.1184,
2,gemma3:1b,load,1,What year was the C programming language created?,10534.440,10535.152,711,212.8,18,1777.3,102,74.950,80.100,53.344,,120,0.4445308565201306,0.5229774782589771,n/a,,0,102,0.000,53.344,0.5230,
2,gemma3:1b,load,2,Name three planets in our solar system.,10535.491,10535.865,373,221.7,17,1528.4,35,71.630,71.630,26.770,,52,0.5148029531308975,0.7648501017944763,n/a,,0,35,0.000,26.770,0.7649,
2,gemma3:1b,load,3,What is 17 multiplied by 23?,10536.032,10536.360,328,217.5,20,1726.2,27,63.700,63.700,20.914,,47,0.4449800974579085,0.7745949844637666,n/a,,0,27,0.000,20.914,0.7746,
2,gemma3:1b,load,4,"Who wrote the novel ""1984""?",10536.557,10536.933,375,216.9,19,1484.2,33,59.250,59.250,22.259,,52,0.42806342144607556,0.6745241792483615,n/a,,0,33,0.000,22.259,0.6745,
2,gemma3:1b,load,5,Explain the difference between TCP and UDP in two sentences.,10537.084,10537.525,441,214.4,20,1545.7,49,58.650,58.650,25.895,,69,0.3752851880988601,0.5284628158943132,n/a,,0,49,0.000,25.895,0.5285,
2,gemma3:1b,load,6,What are the main advantages of using containers over virtua,10537.617,10541.928,4310,208.7,21,1790.1,773,94.184,104.570,406.009,,794,0.5113457828248221,0.5252374535095844,n/a,,0,773,0.000,406.009,0.5252,
2,gemma3:1b,load,7,Describe how HTTPS protects data in transit.,10542.368,10547.433,5065,211.0,17,1476.8,934,97.180,105.460,492.266,,951,0.5176301503425333,0.5270516841282111,n/a,,0,934,0.000,492.266,0.5271,
2,gemma3:1b,load,8,What is gradient descent and why is it used in machine learn,10547.637,10552.538,4901,210.0,22,2098.1,895,101.110,106.430,495.570,,917,0.5404255675365186,0.553709771431271,n/a,,0,895,0.000,495.570,0.5537,
2,gemma3:1b,load,9,Summarise the causes of World War I in three bullet points.,10552.896,10553.826,930,214.4,22,2270.5,142,79.660,88.250,74.115,,164,0.4519226719261037,0.5219388605343732,n/a,,0,142,0.000,74.115,0.5219,
2,gemma3:1b,load,10,Write a Python function that checks whether a given string i,10553.945,10558.871,4925,209.1,29,2708.5,901,100.346,106.510,494.259,,930,0.5314609686451007,0.5485668155826233,n/a,,0,901,0.000,494.259,0.5486,
2,gemma3:1b,load,11,Explain how a transformer neural network works. Cover attent,10559.248,10567.571,8323,210.3,27,2001.8,1561,101.329,107.250,843.448,,1588,0.5311382561488965,0.5403251446280894,n/a,,0,1561,0.000,843.448,0.5403,
2,gemma3:1b,load,12,Write a short story (about 200 words) about a robot who disc,10567.661,10569.186,1525,214.1,32,3196.1,255,93.503,99.140,142.594,,287,0.4968420578053195,0.5591908650593204,n/a,,0,255,0.000,142.594,0.5592,
2,gemma3:1b,load,13,List and briefly explain ten common software design patterns,10569.313,10572.700,3386,214.8,26,2691.8,625,99.697,106.500,337.629,,651,0.5186305760945505,0.5402056080600838,n/a,,0,625,0.000,337.629,0.5402,
2,gemma3:1b,load,14,Describe the pros and cons of renewable energy sources: sola,10573.053,10579.007,5953,212.4,28,2458.5,1108,99.835,106.650,594.381,,1136,0.5232225578005523,0.5364447885030933,n/a,,0,1108,0.000,594.381,0.5364,
3,gemma3:1b,load,0,What is the capital of France?,10579.367,10579.776,408,210.8,16,1592.7,40,84.540,84.540,34.518,,56,0.6163883168411707,0.862943643577639,n/a,,0,40,0.000,34.518,0.8629,
3,gemma3:1b,load,1,What year was the C programming language created?,10579.904,10580.368,463,212.8,18,1772.3,50,67.120,67.120,31.138,,68,0.4579183578174343,0.6227689666317107,n/a,,0,50,0.000,31.138,0.6228,
3,gemma3:1b,load,2,Name three planets in our solar system.,10580.437,10580.826,388,202.0,17,1682.5,35,68.270,68.270,26.556,,52,0.5106899748999264,0.7587393912798907,n/a,,0,35,0.000,26.556,0.7587,
3,gemma3:1b,load,3,What is 17 multiplied by 23?,10580.979,10581.327,347,210.0,20,1635.0,28,66.990,66.990,23.277,,48,0.48493910272496915,0.8313241760999471,n/a,,0,28,0.000,23.277,0.8313,
3,gemma3:1b,load,4,"Who wrote the novel ""1984""?",10581.509,10581.962,453,208.9,19,1815.9,48,60.240,60.240,27.292,,67,0.40734378270081195,0.5685840300198833,n/a,,0,48,0.000,27.292,0.5686,
3,gemma3:1b,load,5,Explain the difference between TCP and UDP in two sentences.,10582.046,10582.569,523,204.9,20,2003.3,59,64.000,64.000,33.487,,79,0.4238889292147765,0.5675800916604634,n/a,,0,59,0.000,33.487,0.5676,
3,gemma3:1b,load,6,What are the main advantages of using containers over virtua,10582.574,10587.331,4756,198.8,21,2153.1,831,96.069,104.910,456.974,,852,0.5363544455064087,0.5499085289668594,n/a,,0,831,0.000,456.974,0.5499,
3,gemma3:1b,load,7,Describe how HTTPS protects data in transit.,10587.333,10592.483,5150,197.3,17,1376.6,895,100.369,105.550,516.910,,912,0.5667871978066719,0.5775529881560724,n/a,,0,895,0.000,516.910,0.5776,
3,gemma3:1b,load,8,What is gradient descent and why is it used in machine learn,10592.639,10599.111,6471,191.0,22,2227.4,1099,89.361,104.220,578.320,,1121,0.5158962708459899,0.526223584730077,n/a,,0,1099,0.000,578.320,0.5262,
3,gemma3:1b,load,9,Summarise the causes of World War I in three bullet points.,10599.632,10601.118,1486,156.2,22,2139.6,189,62.917,73.660,93.508,,211,0.44316615958905814,0.4947516384830226,n/a,,0,189,0.000,93.508,0.4948,
3,gemma3:1b,load,10,Write a Python function that checks whether a given string i,10601.230,10606.190,4959,155.7,29,1391.9,692,60.073,62.810,297.945,,721,0.41323845513851487,0.43055625166888617,n/a,,0,692,0.000,297.945,0.4306,
3,gemma3:1b,load,11,Explain how a transformer neural network works. Cover attent,10606.523,10615.535,9012,173.4,27,1367.4,1418,75.229,102.720,677.973,,1445,0.4691852318538118,0.478118942192354,n/a,,0,1418,0.000,677.973,0.4781,
3,gemma3:1b,load,12,Write a short story (about 200 words) about a robot who disc,10616.058,10617.583,1525,206.1,32,3072.3,249,74.853,87.840,114.174,,281,0.40631312320193197,0.4585300707620196,n/a,,0,249,0.000,114.174,0.4585,
3,gemma3:1b,load,13,List and briefly explain ten common software design patterns,10617.639,10621.707,4068,202.9,26,2574.9,721,99.010,103.450,402.792,,747,0.539212253130307,0.5586568003999158,n/a,,0,721,0.000,402.792,0.5587,
3,gemma3:1b,load,14,Describe the pros and cons of renewable energy sources: sola,10621.845,10628.428,6583,205.4,28,2744.8,1202,100.408,104.850,661.028,,1230,0.5374210563802184,0.5499400160962302,n/a,,0,1202,0.000,661.028,0.5499,
0,gemma3:4b,idle,-1,IDLE_BASELINE,10671.500,10681.531,10030,0,0,0,0,15.684,16.010,157.320,,0,0,0,n/a,,0,0,0,0,0,
1,gemma3:4b,load,0,What is the capital of France?,10681.536,10682.463,927,76.3,16,54.2,31,18.650,21.660,17.296,,47,0.3680053621500519,0.5579436135823367,n/a,,0,31,0.000,17.296,0.5579,
1,gemma3:4b,load,1,What year was the C programming language created?,10682.634,10685.263,2629,72.0,18,537.3,168,63.614,76.130,167.260,,186,0.899245277167766,0.9955929854357409,n/a,,0,168,0.000,167.260,0.9956,
